turbidity,source,taste,odour,colour,result
Low,River,Normal,Rotten Egg,Red-Brown,As per given details the water consists sulfur bacteria or hydrogen sulfide and it is   in state of  during or before  decomposition of algae
Low,River,Normal,Rotten Egg,Black-Dark Brown,As per  given details the water consists sulfur bacteria or hydrogen sulfide  manganese in drinking water and  presence of  organic matter
Low,River,Normal,Rotten Egg,Yellow-Brown,As per  given details the water consists sulfur bacteria or hydrogen sulfide.Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matter Human substance) and  large amount sediment deposition
Low,River,Normal,Rotten Egg,Blue-Green,As per  given details the water consists sulfur bacteria or hydrogen sulphide contact of  water  with copper
Low,River,Normal,Rotten Egg,White,As per given details the water consists sulfur bacteria or hydrogen sulphide.Foaming Agents .air bubbles
Low,River,Normal,Rotten Egg,Black,As per given details the water consists sulfur bacteria or hydrogen sulphide .  manganese in drinking water and  presence of  organic matter
Low,River,Normal,Rotten Egg,Brown,As per given details the water consists sulfur bacteria or hydrogen sulphide  iron in water
Low,River,Normal,Rotten Egg,Orange,As per given details the water consists sulfur bacteria or hydrogen sulphide.And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter
Low,River,Normal,Rotten Egg,Cloudy-White,As per  given details the water consists sulfur bacteria or hydrogen sulfide.Foaming Agents .air bubbles
Low,River,Normal,Rotten Egg,Yellow,As per  given details the water consists sulfur bacteria or hydrogen sulphide.natural dissolved organic acids such as tannins and lignins
Low,River,Normal,Sulphur,Red-Brown,As per  given details the water consists sulfur bacteria or hydrogen sulphide and it is   in state of  during or before  decomposition of algae
Low,River,Normal,Sulphur,Black-Dark Brownn,As per  given details the water consists sulfur bacteria or hydrogen sulfide and  manganese in drinking water and organic matter
Low,River,Normal,Sulphur,Yellow-Brown,As per  given details the water consists sulfur bacteria or hydrogen sulfide.Naturally occurring organic compounds tannins (derived from the decomposition of plant and animal matter Human substance) and  large amount sediment deposition
Low,River,Normal,Sulphur,Blue-Green,As per  given details the water consists sulfur bacteria or hydrogen sulphide contact of  water  with copper
Low,River,Normal,Sulphur,White,As per  given details the water consists sulfur bacteria or hydrogen sulfide.Foaming Agents .air bubbles
Low,River,Normal,Sulphur,Black,As per  given details the water consists sulfur bacteria or hydrogen sulfide .  manganese in drinking water and organic matter
Low,River,Normal,Sulphur,Brown,As per  given details the water consists sulfur bacteria or hydrogen sulfide  iron in water
Low,River,Normal,Sulphur,Orange,As per  given details the water consists sulfur bacteria or hydrogen sulfide.And natural dissolved organic matter (e.g. tannins) may result when rainwater or runoff leaches this organic matter from leaves roots and other vegetative matter.
Low,River,Normal,Sulphur,Cloudy-White,As per  given details the water consists sulfur bacteria or hydrogen sulfide.Foaming Agents air bubbles
